abandon [4'b1nd4n] vt.抛弃；放弃n.放纵；沉溺
abandoned [4'b1nd4nd] adj.被抛弃的，废置的
abandonment [4'b1nd4nm4nt] n.抛弃；放弃
abbreviate [4'bri:vieit] vt.缩短；缩写
abbreviation [4.bri:vi'ei54n] n.缩写；缩写词
abide [4'baid] vi.遵守vt.忍受
abiding [4'baidi6] adj.持久的
ability [4'biliti] n.能力，才干
ablaze [4'bleiz] adj.着火的，燃烧的；闪耀的
abnormal [1b'n3:m4l] adj.反常的，异常的；变态的
abolish [4'b3li5] vt.废除，取消
abolition [1b4'li54n] n.废除，取消
abolitionist [1b4'li54nist] n.废奴主义者
abort [4'b3:t] n.中止计划（任务）
abound [4'baund] vi.充满；富于
abrasion [4'brei94n] n.磨（擦）破；表面磨损
abrasive [4'breisiv] adj.研磨的
abrupt [4'br8pt] adj.突然的，意外的
absenteeism [1bs4n'ti:iz(4)m] n.旷课；旷工
absentee [.1bs4n'ti:] n.缺席者
absent ['1bs4nt] adj.缺少的；不在的，缺席的
absence ['1bs4ns] n.缺少；不在，缺席
absolute ['1bs4lu:t] adj.完全的；绝对的
absolutely ['1bs4lu:tli] adv.完全地；绝对地
absorb [4b's3:b] vt.吸收（液体、知识）
absorption [4b's3:p54n] n.吸收
abstract ['1bstr1kt] adj.抽象的n/vt摘要，提炼
absurd [4b's4:d] adj.荒谬的，可笑的
abundant [4'b8nd4nt] adj.丰富的，充裕的；大量的
abundantly [4'b8nd4ntli] adv.丰富地
abundance [4'b8nd4ns] n.丰富，充裕
abuse [4'bju:z] vt.滥用；虐待
abut [4'b8t] vi.邻接，毗邻
academic [.1k4'demik] adj.学术的；学院的；理论的
academician [4.k1d4'mi54n] n.学会会员；院士；学者
accelerate [1k'sel4reit] v.加快，加速
accelerated [4k'sel4reitid] adj.加速的，迅速的
accelerating [1k'sel4reiti6] adj.加速的
acceleration [1k.sel4'rei54n] n.加速度
access ['1kses] n.接触，接近（的机会）n.入口，通道
accessible [4k'ses4bl] adj.可接近的，可接触的；可得到的
accessibility [.1k4sesi'biliti] n.易接近；可达到
accessory [1k'ses4ri] n.附件，零件
accidental [.1ksi'dentl] adj.意外的，偶然的
accidentally [.1ksi'dent4li] adv.意外地，偶然地
accident ['1ksid4nt] n.意外事件，事故
acclaim [4'kleim] n.赞誉，赞许vt.喝彩，欢呼；称赞
acclaimed [] adj.受人欢迎的
